기관명,분류,검진실 전화번호,대표번호,도시,지역구,상세주소,관련 검진수,일반검진,위암검진,간암검진,대장암검진,유방암검진,우편번호,권역,위도(X),경도(Y),정렬용_지역키
이지스로앤산부인과의원,의원,02-542-0100,02-542-0100,서울특별시,강남구,서울특별시 강남구 테헤란로 337 3층 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06150,수도권,127.048457476412,37.5047949131565,11_680
최진명내과의원,내과의원,02-573-6550,573-6550,서울특별시,강남구,서울특별시 강남구 언주로30길 10 현대비전21 410호 (도곡동) ,4,TRUE,TRUE,TRUE,TRUE,FALSE,06295,수도권,127.05155394203,37.4873386711834,11_680
김현수내과의원,내과의원,02-511-1101,511-1101,서울특별시,강남구,서울특별시 강남구 언주로 874 쌍봉빌딩 7층 (신사동) ,4,TRUE,TRUE,TRUE,TRUE,FALSE,06017,수도권,127.034133513054,37.5285885762172,11_680
루미나산부인과의원,의원,02-6273-7080,02-6273-7080,서울특별시,강남구,서울특별시 강남구 테헤란로 139-1 (역삼동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06132,수도권,127.034471388344,37.5004396757708,11_680
호산여성의원,의원,02-546-3499,02-546-3493,서울특별시,강남구,"서울특별시 강남구 언주로 871 호산병원,3층일부 A동 101호 (신사동) ",1,TRUE,FALSE,FALSE,FALSE,FALSE,06023,수도권,127.033354132164,37.5285677154605,11_680
닥터유내과의원,내과의원,02-3484-7575,02-3484-7575,서울특별시,강남구,서울특별시 강남구 영동대로 416 케이티앤지 타워 지하1층일부 (대치동),4,TRUE,TRUE,TRUE,TRUE,FALSE,06176,수도권,127.065326637295,37.5065841136869,11_680
케이플러스청담의원,의원,02-514-7566,02-514-7566,서울특별시,강남구,"서울특별시 강남구 도산대로 333 K+ 메디칼타워 2,3,13층 (신사동) ",1,TRUE,FALSE,FALSE,FALSE,FALSE,06019,수도권,127.038381231393,37.523358666868,11_680
김미진내과의원,내과의원,02-568-1312,02-568-1312,서울특별시,강남구,"서울특별시 강남구 역삼로 306 4층 404~406호 (역삼동, 개나리래미안아파트)",1,TRUE,FALSE,FALSE,FALSE,FALSE,06216,수도권,2055.5760451463134,4655282.125189498,11_680
박종태유바외과의원,의원,02-556-0011,02-556-0011,서울특별시,강남구,"서울특별시 강남구 도곡로 408 305호 (대치동, 디마크 빌딩)",1,FALSE,FALSE,FALSE,FALSE,TRUE,06278,수도권,127.055233195315,37.4966225187716,11_680
와이퀸산부인과의원,의원,02-555-8278,02-555-8278,서울특별시,강남구,"서울특별시 강남구 선릉로 820 1층, 지하1층 (청담동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,06014,수도권,127.040210980624,37.5249602205031,11_680
예다여성의원,의원,02-517-7125,02-517-7125,서울특별시,강남구,서울특별시 강남구 봉은사로 331 SH타워 6층 (논현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06103,수도권,127.042972144359,37.5102810924204,11_680
성심내과의원,내과의원,02-556-6668,02-556-6668,서울특별시,강남구,"서울특별시 강남구 삼성로 150 201호 (대치동, 한보미도맨션)",4,TRUE,TRUE,TRUE,TRUE,FALSE,06288,수도권,127.068564672209,37.4956953356085,11_680
엘로이여성의원,의원,02-6203-8275,02-6203-8275,서울특별시,강남구,서울특별시 강남구 압구정로 152 2층 (신사동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06030,수도권,127.026048899405,37.5255648913174,11_680
강남성모내과의원,내과의원,02-459-0105,02-459-0105,서울특별시,강남구,"서울특별시 강남구 개포로 615 4층 402-2호 (개포동, 석탑프라자)",4,TRUE,TRUE,TRUE,TRUE,FALSE,06335,수도권,127.07558248914,37.4926580850327,11_680
강남아름다운유외과의원,의원,02-3453-7575,02-3453-7575,서울특별시,강남구,"서울특별시 강남구 테헤란로 410 금강타워 5층 503~505, 508호 (대치동)",1,FALSE,FALSE,FALSE,FALSE,TRUE,06192,수도권,127.050729430264,37.5045559137175,11_680
레아산부인과의원,의원,02-558-5678,02-558-5678,서울특별시,강남구,"서울특별시 강남구 강남대로 340 4층 (역삼동, 경원빌딩)",0,FALSE,FALSE,FALSE,FALSE,FALSE,06242,수도권,127.030306438541,37.4935728051632,11_680
삼성서울유외과의원,의원,02-6941-3313,02-6941-3313,서울특별시,강남구,"서울특별시 강남구 광평로 280 로즈데일오피스텔 2층 202,204-1호 (수서동)",1,FALSE,FALSE,FALSE,FALSE,TRUE,06367,수도권,127.103108072457,37.4873191631489,11_680
강남삼성내과의원,내과의원,02-546-8004,02-546-8004,서울특별시,강남구,서울특별시 강남구 봉은사로 111 7층 (논현동) ,2,TRUE,FALSE,TRUE,FALSE,FALSE,06120,수도권,127.025700266315,37.5051960660157,11_680
압구정연세산부인과의원,의원,02-548-9008,02-548-9008,서울특별시,강남구,서울특별시 강남구 선릉로 815 신한양빌딩 2층 (신사동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06019,수도권,127.03932763326,37.5248658226122,11_680
서울삼성내과의원,내과의원,02-445-7070,02-445-7070,서울특별시,강남구,서울특별시 강남구 일원로 115 삼성생명 일원역 빌딩 2층 204-3호 (일원동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,06355,수도권,127.084459720088,37.4840224010593,11_680
보통의의원,의원,02-517-3650,02-000-0000,서울특별시,강남구,"서울특별시 강남구 압구정로29길 65 442빌딩, 3층일부 (압구정동) ",1,TRUE,FALSE,FALSE,FALSE,FALSE,06005,수도권,127.027000294801,37.5318069076157,11_680
나를위한산부인과의원,의원,02-539-5004,02-539-5004,서울특별시,강남구,서울특별시 강남구 강남대로 364 미왕빌딩 9층 (역삼동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06241,수도권,127.029293901519,37.4955498697675,11_680
서울연세21세기의원,의원,02-512-5121,02-512-5121,서울특별시,강남구,서울특별시 강남구 강남대로128길 20 영동프라자 2층 206호 (논현동),1,TRUE,FALSE,FALSE,FALSE,FALSE,06114,수도권,127.023823242641,37.5099952118083,11_680
그린몰의원,의원,02-517-5433,02-517-9122,서울특별시,강남구,"서울특별시 강남구 도산대로 107 BIO, 5층일부, 7층, 8층일부 (신사동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,06035,수도권,127.02010810325,37.5167802830689,11_680
학동본내과의원,내과의원,02-6205-7788,02-6205-7788,서울특별시,강남구,서울특별시 강남구 학동로 203 2층 (논현동),4,TRUE,TRUE,TRUE,TRUE,FALSE,06052,수도권,127.031186730157,37.514422743867,11_680
퀸스유의원,의원,02-575-7588,02-575-7588,서울특별시,강남구,서울특별시 강남구 강남대로 250 심현빌딩 4층 (도곡동) ,1,FALSE,FALSE,FALSE,FALSE,TRUE,06266,수도권,127.033894942182,37.4858710978671,11_680
우아한여성의원,의원,02-541-4501,02-541-4501,서울특별시,강남구,서울특별시 강남구 압구정로28길 49 유림아트홀 602호 (신사동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06031,수도권,127.027711483385,37.5232586676671,11_680
트리니티여성의원,의원,02-512-8875,0507-1326-8875,서울특별시,강남구,서울특별시 강남구 도산대로 108 3층 (논현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06038,수도권,127.020655869811,37.5161918332017,11_680
청담봄여성의원,의원,02-6191-0030,02-6191-0030,서울특별시,강남구,서울특별시 강남구 삼성로 620 블래스톤리조트 3층 (삼성동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06085,수도권,127.05262341302,37.5149654717602,11_680
다움산부인과의원,의원,02-555-5799,02-555-5799,서울특별시,강남구,서울특별시 강남구 강남대로 390 미진프라자 1301호 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06232,수도권,127.028578846319,37.4978399531903,11_680
에이퀸산부인과의원,의원,02-451-7001,02-451-7001,서울특별시,강남구,서울특별시 강남구 개포로 615 석탑프라자 4층 401-2호 (개포동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06335,수도권,127.07558248914,37.4926580850327,11_680
강남박내과의원,내과의원,02-6318-8800,02-6318-8800,서울특별시,강남구,서울특별시 강남구 강남대로84길 8 우인빌딩 2층 (역삼동),4,TRUE,TRUE,TRUE,TRUE,FALSE,06241,수도권,127.029326833418,37.4964807817238,11_680
강남드림내과의원,내과의원,02-459-9777,02-459-9777,서울특별시,강남구,"서울특별시 강남구 자곡로 120 세곡드림프라자 403, 404, 405호 (자곡동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,06373,수도권,127.096502429368,37.4721456267663,11_680
바른길산부인과의원,의원,02-512-0998,02-512-0998,서울특별시,강남구,서울특별시 강남구 강남대로 528 6층 (논현동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06114,수도권,127.022643236224,37.5092956336041,11_680
안효승내과의원,내과의원,02-6223-8000,02-6223-8000,서울특별시,강남구,서울특별시 강남구 선릉로 406 4층 (대치동),2,TRUE,FALSE,TRUE,FALSE,FALSE,06198,수도권,127.050832530148,37.5011545732697,11_680
마디힐신경외과의원,의원,02-515-0466,02-515-0466,서울특별시,강남구,서울특별시 강남구 선릉로131길 8 노벨빌딩 6층 (논현동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,06059,수도권,127.040276007202,37.5179752643562,11_680
더편한현내과의원,내과의원,02-563-7588,02-563-7588,서울특별시,강남구,서울특별시 강남구 도곡로 323 다른빌딩 2층 (역삼동),4,TRUE,TRUE,TRUE,TRUE,FALSE,06218,수도권,127.051336283187,37.4960980886032,11_680
강남바른내과의원,내과의원,02-6232-7500,02-6232-7500,서울특별시,강남구,서울특별시 강남구 선릉로 324 SH타워 4층 (대치동),5,TRUE,TRUE,TRUE,TRUE,TRUE,06205,수도권,127.052094163626,37.4985303841214,11_680
수서나을산부인과의원,의원,02-2226-2939,02-2226-2939,서울특별시,강남구,서울특별시 강남구 광평로 280 로즈데일오피스텔 2층 204호 (수서동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06367,수도권,127.103108072457,37.4873191631489,11_680
에펠산부인과의원,의원,02-2039-7597,02-2039-7597,서울특별시,강남구,서울특별시 강남구 도곡로 408 디마크 빌딩 404호 (대치동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06278,수도권,127.055233195315,37.4966225187716,11_680
헤스티아여성의원,의원,02-6219-0123,02-6219-0123,서울특별시,강남구,서울특별시 강남구 도산대로 119 4층 (신사동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06035,수도권,127.021465412617,37.5173261424208,11_680
삼성유외과의원,의원,02-3412-7775,02-3412-7775,서울특별시,강남구,서울특별시 강남구 일원로 37 하나은행 일원중앙 201호 (일원동),1,FALSE,FALSE,FALSE,FALSE,TRUE,06343,수도권,127.081242652976,37.4904826306587,11_680
신사우리베스트내과의원,내과의원,02-6958-8676,02-6958-8676,서울특별시,강남구,서울특별시 강남구 강남대로 652 6층 (신사동),5,TRUE,TRUE,TRUE,TRUE,TRUE,06027,수도권,127.019091004701,37.5195659036492,11_680
오크우드봄의원,의원,02-6925-5755,02-6925-5755,서울특별시,강남구,서울특별시 강남구 테헤란로87길 46 호텔오크우드프리미어 1B1호 (삼성동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,06164,수도권,127.058205573267,37.5109823973192,11_680
대치성모여성의원,의원,02-557-0810,02-557-0810,서울특별시,강남구,서울특별시 강남구 선릉로64길 9 대성빌딩 3층 (대치동),0,FALSE,FALSE,FALSE,FALSE,FALSE,06205,수도권,127.053059427689,37.4979803406838,11_680
윤영석내과의원,내과의원,02-508-7781,02-508-7781,서울특별시,강남구,"서울특별시 강남구 남부순환로 2912 (대치동, 305,306,307호)",2,TRUE,FALSE,TRUE,FALSE,FALSE,06289,수도권,127.056142941592,37.4907059879875,11_680
두번째봄여성의원,의원,02-6369-0771,02-6369-0771,서울특별시,강남구,서울특별시 강남구 압구정로36길 8 2층 (신사동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06023,수도권,127.031320992326,37.5279511760453,11_680
청담헤라산부인과의원,의원,02-512-7800,0507-1376-7806,서울특별시,강남구,서울특별시 강남구 학동로53길 3-2 6층 (논현동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06060,수도권,127.040134161132,37.5173459617876,11_680
세상의반여성의원,의원,02-555-7582,02-555-7582,서울특별시,강남구,서울특별시 강남구 삼성로92길 29 도일빌딩 3층 (삼성동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06169,수도권,127.058778402547,37.5083178432764,11_680
세곡이화산부인과의원,의원,02-451-2220,02-451-2220,서울특별시,강남구,"서울특별시 강남구 자곡로 201 강남 더샵 라르고 2층 203호, 204호 (자곡동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,06372,수도권,127.104713854582,37.4753775851032,11_680
삼성드림내과의원,내과의원,02-555-7112,02-555-7112,서울특별시,강남구,"서울특별시 강남구 선릉로 309-1 더 스톤 한티빌딩 2,3층 (역삼동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,06218,수도권,127.052238234615,37.4970659148576,11_680
이사벨라여성의원,의원,02-555-0025,02-555-0025,서울특별시,강남구,"서울특별시 강남구 남부순환로 2912 우성아파트상가 3층 304호일부, 304-1호 (대치동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,06289,수도권,127.056142941592,37.4907059879875,11_680
서울에스유외과의원,의원,02-546-6800,02-546-6800,서울특별시,강남구,서울특별시 강남구 강남대로 518 8층 (논현동) ,1,FALSE,FALSE,FALSE,FALSE,TRUE,06114,수도권,127.023082492741,37.5084375217607,11_680
연세연여성외과의원,의원,02-508-4056,02-508-4056,서울특별시,강남구,서울특별시 강남구 남부순환로 2941 대치탑프라자 302호 (대치동) ,1,FALSE,FALSE,FALSE,FALSE,TRUE,06280,수도권,127.061934331534,37.4942633335042,11_680
삼성더건강내과의원,내과의원,02-6953-0815,02-6953-0815,서울특별시,강남구,서울특별시 강남구 선릉로 34 4층 (개포동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,06325,수도권,127.060754455027,37.4828272746585,11_680
은혜산부인과의원,의원,02-3453-3205,02-3453-3205,서울특별시,강남구,서울특별시 강남구 논현로 340 3층 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06227,수도권,127.039630476234,37.4957744487635,11_680
조아라산부인과의원,의원,02-561-7777,02-561-7777,서울특별시,강남구,서울특별시 강남구 논현로 503 송촌빌딩 9층 2호 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06132,수도권,127.036366846779,37.5012739795743,11_680
삼성퍼스티어산부인과의원,의원,02-6239-5000,02-6239-5000,서울특별시,강남구,서울특별시 강남구 선릉로 34 8층 (개포동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06325,수도권,127.060754455027,37.4828272746585,11_680
더서울유외과의원,의원,02-563-5777,02-563-5777,서울특별시,강남구,"서울특별시 강남구 삼성로 155 대치퍼스트빌딩 206호,207(일부)호 (대치동) ",1,FALSE,FALSE,FALSE,FALSE,TRUE,06291,수도권,127.062951852624,37.4938813994708,11_680
서울대치탑의원,의원,02-566-9110,566-9110,서울특별시,강남구,서울특별시 강남구 남부순환로 2936 304호 (대치동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06291,수도권,127.06191661451,37.4933489108525,11_680
강남웰니스내과의원,내과의원,02-6958-7590,02-6958-7590,서울특별시,강남구,"서울특별시 강남구 언주로 563 지하1층 101~108,114~121,123~126호 (역삼동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,06135,수도권,127.038168392484,37.5079337330229,11_680
연세메이저내과의원,내과의원,02-6207-5700,02-6207-5700,서울특별시,강남구,"서울특별시 강남구 도곡로 431 강남 동산 빌딩 2,3,4(일부)층 (대치동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,06208,수도권,127.057478345385,37.4980590034795,11_680
김주희유외과의원,의원,02-563-7900,02-563-7900,서울특별시,강남구,서울특별시 강남구 선릉로 301 501호 (역삼동) ,1,FALSE,FALSE,FALSE,FALSE,TRUE,06218,수도권,127.052465006347,37.4964706995569,11_680
개포삼성앤서울내과의원,내과의원,02-451-1105,02-451-1105,서울특별시,강남구,"서울특별시 강남구 삼성로 14 3층 310,311,313호 (개포동, 개포자이 프레지던스) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,06331,수도권,127.068451024326,37.4861548149371,11_680
더연세미즈산부인과의원,의원,02-565-7575,02-565-7575,서울특별시,강남구,서울특별시 강남구 선릉로 301 6~7층 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06218,수도권,127.052465006347,37.4964706995569,11_680
압구정하나내과의원,내과의원,02-3443-7550,02-3443-7550,서울특별시,강남구,서울특별시 강남구 압구정로 328 효정빌딩 3층 (신사동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,06018,수도권,127.037467975824,37.5283378978473,11_680
연세이롬산부인과의원,의원,02-558-2255,02-558-2255,서울특별시,강남구,서울특별시 강남구 테헤란로87길 17 마젤란 21 아스테리움 1동 3층 301호 (삼성동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06169,수도권,127.058342385872,37.5087436940538,11_680
첫걸음산부인과의원,의원,02-2038-7375,02-2038-7375,서울특별시,강남구,서울특별시 강남구 선릉로 431 에스케이허브오피스텔 3층 306호 (역삼동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06212,수도권,127.049106892969,37.503435658512,11_680
연세거평의원,의원,02-518-0123,02-518-0123,서울특별시,강남구,"서울특별시 강남구 봉은사로 129 지하1층 (논현동, 거평타운) ",4,FALSE,TRUE,TRUE,TRUE,TRUE,06121,수도권,127.028313428889,37.5059164529797,11_680
서울프라임하트내과의원,내과의원,02-515-1575,02-515-1575,서울특별시,강남구,서울특별시 강남구 선릉로131길 12 로뎀2빌딩 2층 (논현동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,06059,수도권,127.039854496609,37.5179044983754,11_680
리나여성의원,의원,02-577-0303,02-577-2025,서울특별시,강남구,서울특별시 강남구 남부순환로 2609 하늘빌딩 401호 (도곡동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06267,수도권,127.035096207425,37.4849629812617,11_680
라피스여성의원,의원,02-511-8454,02-511-8454,서울특별시,강남구,서울특별시 강남구 선릉로 823 5층 (신사동) ,0,FALSE,FALSE,FALSE,FALSE,FALSE,06018,수도권,127.039342517747,37.5256355438421,11_680
연세유나유외과의원,의원,02-553-7501,02-553-7501,서울특별시,강남구,"서울특별시 강남구 선릉로 206 2층 201,202호 (대치동, 동부센트레빌) ",1,FALSE,FALSE,FALSE,FALSE,TRUE,06281,수도권,127.055641674701,37.4914644228405,11_680
경찰병원,종합병원,02-3400-1365,02-3400-1114,서울특별시,송파구,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),4,FALSE,TRUE,TRUE,TRUE,TRUE,05715,수도권,127.123487484921,37.4964145655333,11_710
재단법인아산사회복지재단 서울아산병원,종합병원,02-3010-1896,02-3010-3114,서울특별시,송파구,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05505,수도권,127.109380463701,37.525171129004,11_710
한솔병원,병원,02-2147-6000,02-2147-6000,서울특별시,송파구,서울특별시 송파구 송파대로 445 한솔병원 (석촌동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05616,수도권,127.105912362918,37.5060777045103,11_710
뉴스타트병원,병원,02-409-1177,02-407-7700,서울특별시,송파구,서울특별시 송파구 송이로 76 뉴스타트병원 (가락동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05707,수도권,127.119513008234,37.4990977042848,11_710
강남힘찬병원,병원,-1899-2225,1899-2225,서울특별시,송파구,"서울특별시 송파구 백제고분로 407 (송파동, 지하 2층~7층)",1,TRUE,FALSE,FALSE,FALSE,FALSE,05621,수도권,127.109884689423,37.5075933501505,11_710
서울병원,병원,02-405-8642,02-405-8500,서울특별시,송파구,서울특별시 송파구 오금로 290 (가락동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05700,수도권,127.124708246107,37.5039052343651,11_710
서울석병원,병원,02-403-7585,02-403-7585,서울특별시,송파구,서울특별시 송파구 송이로 148 (가락동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05829,수도권,127.124025748272,37.4937372920686,11_710
서울세계로병원,병원,-1670-9111,02-1670-9111,서울특별시,송파구,"서울특별시 송파구 위례서로 248 지하1층, 2층, 5~12층 (거여동) ",5,TRUE,TRUE,TRUE,TRUE,TRUE,05790,수도권,127.142262855079,37.4866427532962,11_710
연세우리병원,병원,02-1533-1755,02-1533-1755,서울특별시,송파구,서울특별시 송파구 백제고분로 185 2~9층 (잠실동) ,5,TRUE,TRUE,TRUE,TRUE,TRUE,05567,수도권,127.087307841535,37.504811961495,11_710
다나움요양병원,병원,070-4179-1720,02-412-7272,서울특별시,송파구,서울특별시 송파구 가락로 278 지하1층~지상6층 (방이동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05635,수도권,127.119851822897,37.5124701632775,11_710
김정훈내과의원,내과의원,02-421-8067,02-421-8067,서울특별시,송파구,"서울특별시 송파구 삼전로 99 (잠실동, 2층)",2,TRUE,FALSE,TRUE,FALSE,FALSE,05566,수도권,127.090133910971,37.507262374315,11_710
김정자산부인과의원,의원,02-415-7718,02-415-7718,서울특별시,송파구,서울특별시 송파구 석촌호수로 234 (석촌동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05610,수도권,127.102735192556,37.5076453754084,11_710
김혜숙산부인과의원,의원,02-403-7300,02-403-7300,서울특별시,송파구,서울특별시 송파구 마천로41길 22 (마천동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05757,수도권,127.14994730411,37.4968946341351,11_710
성모자애의원,의원,02-419-3464,02-419-3464,서울특별시,송파구,서울특별시 송파구 가락로 158 (송파동),3,TRUE,TRUE,TRUE,FALSE,FALSE,05675,수도권,127.113257730697,37.5031209999929,11_710
연세메디칼내과의원,내과의원,02-423-6001,02-423-6001,서울특별시,송파구,"서울특별시 송파구 가락로 166 (송파동, 2층)",2,TRUE,FALSE,TRUE,FALSE,FALSE,05675,수도권,127.113823181539,37.5035544706884,11_710
연세가정의학과의원,의원,02-400-7450,02-400-7450,서울특별시,송파구,서울특별시 송파구 새말로 134 2층 (문정동) ,3,TRUE,TRUE,TRUE,FALSE,FALSE,05810,수도권,127.128833865415,37.4829769123873,11_710
윤석중내과의원,내과의원,02-421-9366,02-421-9357,서울특별시,송파구,"서울특별시 송파구 올림픽로35길 124 장미아파트 에이상가 1동 4층 1,6,11,12,13,14,15호 (신천동)",5,TRUE,TRUE,TRUE,TRUE,TRUE,05504,수도권,127.10071613049,37.5173394829102,11_710
김기우내과의원,내과의원,02-408-7107,02-408-7107,서울특별시,송파구,"서울특별시 송파구 오금로 507 (거여동, 2층)",4,TRUE,TRUE,TRUE,TRUE,FALSE,05768,수도권,127.145182400016,37.4932343921124,11_710
포유문산부인과의원,의원,02-443-1600,02-443-1600,서울특별시,송파구,서울특별시 송파구 양재대로60길 3-13 가락동 문산부인과 (가락동),1,FALSE,FALSE,FALSE,FALSE,TRUE,05708,수도권,127.116710874557,37.498712352604,11_710
이가정의학과의원,의원,02-407-1002,02-407-1002,서울특별시,송파구,"서울특별시 송파구 동남로 189 506호 (가락동, 가락쌍용@26동 프라자상가 )",0,FALSE,FALSE,FALSE,FALSE,FALSE,05823,수도권,127.129853687565,37.4946614092198,11_710
중앙내과의원,내과의원,02-408-3914,02-408-3914,서울특별시,송파구,서울특별시 송파구 마천로57길 5 마천빌딩 4층 (마천동),2,TRUE,FALSE,TRUE,FALSE,FALSE,05758,수도권,127.151910198472,37.4945339234892,11_710
지파이브(G5)연합의원,의원,02-2047-1133,02-2047-1133,서울특별시,송파구,"서울특별시 송파구 충민로 52 가든파이브웍스 3층 S305,S306호 (문정동)",1,TRUE,FALSE,FALSE,FALSE,FALSE,05839,수도권,127.122746043108,37.4777176293094,11_710
상덕의원,의원,02-486-9284,02-486-9284,서울특별시,송파구,"서울특별시 송파구 바람드리길 62 (풍납동, 2층)",5,TRUE,TRUE,TRUE,TRUE,TRUE,05519,수도권,127.122365863486,37.5367003001398,11_710
메디스콥영상의학과의원,의원,02-406-5588,02-406-5588,서울특별시,송파구,"서울특별시 송파구 송파대로28길 27 102동 211,212호 (가락동, 송파성원쌍떼빌)",2,TRUE,FALSE,TRUE,FALSE,FALSE,05718,수도권,127.120132764747,37.4948121610825,11_710
국민체력센터의원,의원,02-413-5336,02-413-5336,서울특별시,송파구,서울특별시 송파구 올림픽로 424 국민체력센터의원 (방이동) ,4,TRUE,TRUE,FALSE,TRUE,TRUE,05540,수도권,127.115517876627,37.5203396980951,11_710
행복한서내과의원,내과의원,02-443-7826,02-443-7826,서울특별시,송파구,"서울특별시 송파구 마천로 264 2층 3호 (거여동, 흥일빌딩)",5,TRUE,TRUE,TRUE,TRUE,TRUE,05735,수도권,127.146149512256,37.4980805219712,11_710
송파본내과의원,내과의원,02-423-6655,02-423-6655,서울특별시,송파구,서울특별시 송파구 송파대로 385 성룡빌딩 지하1~지상1층 (석촌동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05697,수도권,127.109755559722,37.5016662990031,11_710
삼성산부인과의원,의원,02-449-7582,02-449-7582,서울특별시,송파구,"서울특별시 송파구 법원로11길 11 A동 2층 203호 (문정동, 문정현대지지식산업센터1-1)",0,FALSE,FALSE,FALSE,FALSE,FALSE,05836,수도권,127.118322322397,37.4846302643031,11_710
김윤숙산부인과의원,의원,02-422-7779,02-422-7779,서울특별시,송파구,서울특별시 송파구 올림픽로 108 (잠실동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05557,수도권,127.082765031389,37.5114261730629,11_710
성림내과의원,내과의원,02-420-3308,02-420-3308,서울특별시,송파구,"서울특별시 송파구 백제고분로 276 (석촌동, 공익빌딩 203호)",4,TRUE,TRUE,TRUE,TRUE,FALSE,05679,수도권,127.097258552535,37.5021081097948,11_710
김철우내과의원,내과의원,02-407-4202,02-407-4202,서울특별시,송파구,"서울특별시 송파구 양산로 42 (거여동, 2층)",4,TRUE,TRUE,TRUE,TRUE,FALSE,05773,수도권,127.14448399601,37.4926338265085,11_710
송파우리들의원,의원,02-448-8275,02-448-8275,서울특별시,송파구,"서울특별시 송파구 송파대로 345 2037호,2038호 (가락동, 헬리오시티)",0,FALSE,FALSE,FALSE,FALSE,FALSE,05698,수도권,127.102531804188,37.4976145695004,11_710
최원준내과의원,내과의원,02-418-6258,02-418-6258,서울특별시,송파구,"서울특별시 송파구 올림픽로 145 5층 14호,15호 (잠실동, 리센츠상가)",4,TRUE,TRUE,TRUE,TRUE,FALSE,05502,수도권,127.087041904838,37.5119804600106,11_710
공내과의원,내과의원,02-402-1230,02-402-1230,서울특별시,송파구,서울특별시 송파구 마천로5길 4 삼대양빌딩 4층 (오금동),5,TRUE,TRUE,TRUE,TRUE,TRUE,05657,수도권,127.126738418257,37.5087196639741,11_710
이미정산부인과의원,의원,02-407-2702,02-407-2702,서울특별시,송파구,서울특별시 송파구 동남로 138 3층 (문정동),0,FALSE,FALSE,FALSE,FALSE,FALSE,05796,수도권,127.126242693759,37.4911230155082,11_710
이석호내과의원,내과의원,02-420-7582,02-420-7582,서울특별시,송파구,서울특별시 송파구 백제고분로 469 2층 (방이동),4,TRUE,TRUE,TRUE,TRUE,FALSE,05546,수도권,127.113267654848,37.5125340544667,11_710
연세차내과의원,내과의원,02-431-1257,02-431-1257,서울특별시,송파구,"서울특별시 송파구 문정로4길 14 2층 (문정동, 동산빌딩)",3,TRUE,TRUE,TRUE,FALSE,FALSE,05807,수도권,127.12598509748,37.4849908540459,11_710
